count,post,patch,get,filter
364,35,41,29,78
379,33,41,28,81
369,34,39,30,85
368,33,40,30,95
376,34,46,30,89
374,34,47,29,91
373,34,32,44,94
363,35,41,28,104
365,34,40,30,110
375,34,39,29,116
377,34,39,29,117
383,26,22,26,85
381,24,29,23,85
398,32,33,29,73
385,33,32,25,81
380,26,29,21,98
389,33,30,29,82
382,28,30,28,89
399,44,37,28,75
393,34,38,39,79
397,31,40,31,100
395,34,37,39,93
394,33,40,30,103
388,33,40,30,108
392,34,41,29,108
396,33,40,30,111
391,34,41,29,121
390,33,37,29,129
384,35,39,30,128
386,34,32,29,142
387,34,34,30,142
401,24,32,19,79
400,23,30,21,81
404,25,27,28,76
409,30,30,27,71
403,32,29,26,84
412,30,30,27,85
415,40,29,22,81
405,32,30,26,90
402,26,28,28,97
414,31,28,32,92
407,32,29,32,96
416,29,30,26,106
408,32,36,33,103
418,41,33,31,104
406,32,36,33,112
419,40,33,31,109
413,31,42,33,111
417,41,33,31,119
411,31,42,33,134
410,32,37,32,139
421,95,31,27,69
420,95,27,28,75
425,99,27,27,73
437,105,28,23,69
439,104,27,23,74
438,105,31,23,73
424,100,30,31,78
426,99,40,31,85
435,106,29,22,102
423,99,49,33,85
422,100,50,32,87
427,99,50,32,91
428,98,49,33,94
434,107,33,32,103
429,109,32,33,109
432,107,34,32,113
430,108,34,33,117
436,106,40,23,125
433,107,34,33,127
431,107,34,34,130
442,26,29,17,61
447,34,30,32,56
448,33,25,28,66
446,28,18,30,78
441,25,36,19,76
443,33,31,32,68
455,40,28,36,61
440,26,37,16,93
445,34,31,31,81
449,33,27,30,103
456,41,32,34,86
457,41,30,34,90
453,41,35,35,104
458,41,34,35,122
454,40,34,36,123
459,41,35,34,125
450,42,35,34,126
444,33,26,32,149
451,33,31,31,155
452,41,29,29,158
464,26,32,20,48
479,33,28,27,47
461,25,31,23,68
463,30,36,27,60
465,29,34,27,69
478,33,31,28,71
466,34,32,29,70
467,35,34,31,69
468,35,31,31,78
460,24,31,24,99
469,35,37,32,91
472,34,38,32,111
477,35,38,31,123
462,29,32,27,146
474,34,37,32,133
475,34,38,32,136
470,35,34,31,142
473,35,37,32,139
476,34,33,31,146
471,36,34,30,148
481,25,31,27,61
484,29,31,27,61
480,26,31,26,75
482,25,31,27,78
483,30,50,27,67
493,37,47,27,68
490,28,49,28,76
491,36,48,27,74
494,38,47,26,83
495,35,49,27,121
486,29,49,28,129
487,30,46,36,123
498,36,48,27,132
497,36,50,26,139
499,36,49,26,146
485,30,48,27,156
496,36,49,26,152
492,38,48,26,155
488,30,46,36,156
489,30,47,36,156
501,25,29,23,53
502,26,25,26,53
510,29,26,28,68
503,26,27,28,72
500,30,30,29,65
505,29,30,29,82
507,37,29,21,85
504,30,28,29,90
508,29,29,28,100
519,35,40,29,105
518,34,30,29,120
511,38,34,29,122
514,36,39,30,118
516,36,35,29,136
513,36,35,29,141
517,35,30,29,150
515,36,35,29,150
509,37,28,29,166
506,30,37,29,174
512,36,30,29,177
525,27,20,27,73
521,24,32,19,72
520,26,33,16,75
523,28,31,26,81
524,32,28,28,84
526,31,32,29,115
527,31,34,28,120
529,32,28,27,129
531,32,33,28,127
534,31,32,28,145
533,40,29,33,137
532,31,33,27,149
530,41,34,34,132
536,40,37,34,135
537,39,32,34,144
535,40,29,33,156
522,32,32,35,178
539,38,31,27,178
538,38,29,34,182
528,31,33,29,196
540,26,28,24,64
542,30,28,28,61
543,27,28,27,80
541,25,28,24,108
545,29,32,29,107
544,30,30,28,109
550,36,29,29,104
553,37,36,29,108
559,37,37,28,115
558,36,37,29,133
555,36,38,28,141
556,36,37,29,141
551,36,30,29,150
552,37,37,29,145
557,36,37,29,155
549,36,30,28,174
547,30,33,29,178
554,35,30,29,176
546,30,33,28,189
548,30,34,28,191
568,34,27,28,97
565,35,33,28,99
569,30,26,25,120
579,38,27,29,115
578,37,29,20,124
561,28,29,18,144
560,35,27,26,139
575,40,34,29,118
563,35,36,29,129
562,34,36,30,134
576,39,50,30,113
574,39,40,30,132
577,38,35,29,145
564,34,37,30,161
573,39,35,29,173
566,35,37,29,181
567,34,37,29,182
571,38,29,29,183
572,38,28,30,185
570,42,27,30,190
581,29,29,13,78
586,34,27,28,87
580,28,30,14,111
599,38,32,28,85
585,34,31,29,99
593,40,29,28,99
588,41,55,30,77
587,30,25,26,129
583,35,32,27,135
594,41,62,28,97
592,40,66,28,109
596,41,65,29,110
590,41,65,29,122
584,34,32,28,173
591,41,66,28,136
595,41,65,28,147
597,40,66,27,159
598,40,23,26,204
589,41,62,29,166
582,34,25,26,217
601,24,26,27,52
602,29,27,31,76
600,29,30,31,78
619,35,28,28,81
605,26,28,28,94
618,36,29,27,84
603,28,30,31,93
604,29,30,31,101
614,37,27,28,104
607,39,33,28,122
606,40,38,37,127
608,39,34,27,159
610,38,44,28,154
616,37,33,28,171
613,38,46,28,162
612,39,36,37,163
609,38,33,28,180
615,38,37,28,176
617,36,28,28,187
611,37,27,28,199
620,25,32,15,63
626,26,15,29,107
623,25,29,12,115
630,36,27,35,106
624,30,26,32,126
634,36,26,33,123
629,36,26,25,136
627,37,33,35,119
632,35,34,35,119
625,31,26,31,141
628,37,33,34,125
638,36,37,35,121
631,38,37,34,142
637,37,32,35,152
636,36,38,35,148
635,36,38,35,151
639,35,39,34,173
633,37,33,34,179
622,30,24,29,203
621,30,26,32,199
649,25,31,26,93
640,24,36,17,101
645,29,32,27,105
647,29,35,35,101
643,31,30,35,113
653,37,32,21,121
656,37,31,21,123
646,29,35,35,126
655,38,36,36,114
659,37,39,36,118
654,37,37,36,133
657,37,33,35,148
651,38,31,36,160
652,37,39,22,179
658,38,33,34,192
648,29,35,35,207
644,31,33,35,210
642,30,34,35,213
641,30,38,31,222
650,38,35,22,234
662,27,27,5,66
660,30,21,24,67
661,29,35,13,88
664,34,37,28,73
666,34,38,28,72
665,35,37,28,77
663,34,43,29,72
672,41,41,26,89
676,41,35,31,110
673,41,35,32,122
678,41,41,32,133
669,41,41,34,139
675,41,42,32,147
677,42,41,32,151
671,42,41,32,168
667,42,42,34,166
679,42,41,32,168
674,42,42,32,179
670,41,35,32,196
668,35,46,28,197
681,24,31,18,75
688,27,27,26,70
683,30,28,26,75
689,29,29,26,99
685,30,34,33,114
699,37,36,23,121
687,30,37,32,135
686,31,36,32,144
684,31,36,31,148
680,32,35,32,150
694,38,33,33,155
695,38,39,33,158
691,39,34,33,166
696,38,33,33,171
690,39,33,33,179
697,37,36,23,197
698,37,32,22,208
692,38,32,22,217
682,31,36,33,216
693,38,32,22,230
701,24,29,19,115
707,31,26,29,116
705,31,29,29,119
709,26,29,26,131
703,30,26,27,141
704,32,30,29,134
710,31,33,29,135
700,32,34,29,140
706,32,33,29,145
708,30,33,30,148
711,40,39,29,144
719,38,31,29,154
712,40,38,30,159
715,39,39,29,196
714,40,32,27,219
717,40,40,27,212
716,39,39,29,219
713,40,30,29,229
702,31,29,29,249
718,40,31,27,239
720,25,94,24,67
723,23,101,25,80
724,29,102,29,84
726,26,102,27,93
727,30,108,29,90
721,30,108,30,91
728,36,113,30,104
731,36,114,30,108
729,36,121,30,115
732,34,108,30,138
730,35,122,30,151
738,34,121,30,152
734,36,120,30,154
735,35,121,30,163
736,36,116,30,176
739,35,121,30,178
737,34,105,30,209
725,30,111,29,212
733,36,116,30,201
722,30,109,29,220
744,34,28,25,95
742,30,27,24,109
741,32,27,23,112
745,34,29,25,110
740,32,27,23,118
749,38,29,27,122
756,39,28,27,123
759,40,33,26,136
754,43,30,27,147
751,46,28,27,149
758,39,28,27,166
753,39,28,27,175
752,39,28,27,182
748,38,26,27,194
750,38,28,27,199
746,39,28,27,207
757,39,20,27,208
755,32,29,27,208
743,34,28,25,227
747,34,28,25,246
760,23,28,5,66
775,33,27,26,61
763,25,26,22,94
765,33,28,23,95
769,34,27,36,97
770,33,39,39,92
764,36,35,36,103
774,33,30,36,131
766,36,42,35,124
762,36,30,37,146
772,35,30,36,148
778,33,30,36,178
777,31,33,29,200
767,34,34,27,203
768,36,30,35,199
776,33,30,26,209
771,33,33,28,207
773,33,32,27,213
761,27,25,21,244
779,32,29,27,228
780,28,36,16,119
782,36,29,27,129
787,35,29,26,140
792,42,35,35,123
781,36,29,26,155
795,41,32,25,147
784,41,29,25,158
790,42,42,35,142
798,41,37,34,151
783,42,34,25,173
789,44,42,34,159
797,41,42,35,176
788,41,51,27,178
786,42,52,25,225
799,40,42,35,234
796,42,32,35,248
793,41,47,25,246
794,41,52,25,245
785,41,46,27,254
791,43,36,33,265
802,27,25,5,104
800,30,21,23,90
814,37,26,27,82
818,31,27,27,86
801,34,26,27,92
819,36,28,26,141
813,39,28,34,133
808,39,30,26,148
809,38,48,27,136
810,40,45,34,146
803,42,45,33,154
812,39,44,35,155
806,41,44,34,172
807,41,44,34,179
805,40,46,33,191
804,41,44,33,194
817,37,28,26,222
816,38,41,34,202
815,38,49,26,209
811,38,30,26,243
820,24,36,11,104
822,30,26,30,123
825,29,27,29,135
828,34,39,35,143
833,33,38,35,150
827,34,39,34,153
836,33,35,35,165
835,45,29,22,172
838,44,29,22,174
839,32,35,35,167
837,44,27,22,229
832,32,39,35,217
824,46,36,23,221
821,29,27,30,251
826,33,27,30,249
823,25,33,22,266
829,46,148,33,131
831,46,146,32,144
834,45,149,32,143
830,47,149,31,146
841,25,27,30,76
844,27,27,28,78
851,37,26,26,108
857,35,26,26,132
840,25,28,29,145
848,38,34,38,120
853,36,28,27,161
847,29,33,37,176
845,30,33,36,177
859,36,31,38,188
849,30,32,36,205
855,37,29,26,211
843,30,32,37,211
850,30,33,35,216
846,30,33,35,217
858,36,33,27,223
856,37,27,27,235
852,36,33,27,247
854,36,29,27,253
842,30,29,29,266
860,26,33,23,70
861,24,20,24,101
862,28,28,25,109
865,29,33,29,102
863,25,34,23,116
876,36,36,31,98
877,35,34,34,126
868,37,35,32,127
864,29,32,30,152
866,27,27,26,166
869,37,114,32,119
873,35,108,34,125
871,35,111,34,132
872,34,114,34,130
875,35,110,33,143
867,36,116,32,138
870,36,116,32,145
879,35,114,33,148
874,36,113,33,160
878,36,113,32,164
881,24,31,28,114
882,27,31,25,115
880,25,32,27,119
895,35,28,26,121
889,37,33,26,134
887,29,35,27,142
897,35,31,26,148
890,38,32,39,143
893,37,37,26,175
883,31,36,35,177
892,37,37,26,209
898,35,37,26,212
891,38,37,26,228
899,35,37,26,253
886,29,36,35,254
888,28,32,28,267
884,30,35,35,264
894,36,36,26,266
885,30,32,27,283
896,36,37,26,276
901,25,30,16,70
900,25,33,16,145
905,28,26,26,149
911,38,36,33,133
919,35,31,23,159
908,27,27,25,176
903,31,27,27,180
914,38,35,32,171
917,37,36,23,187
918,37,35,32,185
913,38,35,32,189
915,38,35,32,192
916,37,32,32,217
902,32,36,31,227
907,31,36,31,264
909,37,36,24,292
910,38,36,23,292
904,31,32,31,304
906,30,31,32,304
912,37,32,23,314
921,29,31,23,112
923,37,23,29,107
928,33,31,32,99
927,37,31,28,129
931,55,28,26,146
933,55,28,26,147
930,49,26,28,170
929,50,27,27,192
925,37,32,28,215
922,37,31,30,221
920,37,31,30,222
938,62,30,24,210
924,36,30,30,236
926,36,31,30,237
932,55,30,31,225
936,55,105,32,158
939,63,106,23,177
937,55,105,32,184
934,55,105,33,193
935,56,105,31,195
941,28,28,26,78
942,28,27,27,103
956,43,31,24,105
943,34,29,26,119
958,43,40,24,106
945,34,27,27,128
955,34,39,34,138
953,33,40,35,146
952,33,37,35,180
946,34,37,34,188
954,42,28,25,205
950,33,35,27,220
947,34,36,35,212
959,41,28,24,236
951,33,31,27,246
948,33,31,27,248
949,34,34,27,245
957,42,23,25,270
940,30,28,26,280
944,28,28,27,283
960,25,30,13,118
969,25,28,26,123
963,29,25,27,129
961,31,27,28,128
975,37,30,28,119
979,37,30,27,121
970,37,40,30,137
973,38,35,27,174
977,37,43,28,197
972,37,46,30,203
978,38,45,28,209
976,37,46,29,213
971,38,42,29,226
974,37,35,28,249
965,30,42,29,262
964,31,42,28,262
962,31,41,29,269
967,29,41,30,271
966,30,37,29,285
968,38,29,29,292
980,25,28,26,83
988,28,29,29,123
984,30,32,29,128
981,24,28,25,156
991,39,40,27,152
990,39,41,26,163
997,39,39,26,186
995,38,40,26,189
999,38,39,27,223
996,39,38,27,252
989,39,36,26,259
994,38,40,27,263
986,29,38,38,265
993,39,34,26,286
985,28,27,30,304
982,30,32,29,301
998,37,36,27,291
987,29,33,28,313
992,39,39,26,306
983,29,32,29,323
1000,24,38,14,85
1003,25,26,31,108
1007,29,31,28,125
1005,27,27,30,155
1017,35,30,29,153
1001,29,29,28,165
1011,35,29,39,152
1004,28,32,29,169
1016,35,30,29,185
1008,36,31,29,196
1010,34,31,30,201
1013,36,32,27,204
1012,35,31,29,230
1019,34,30,29,257
1015,34,29,30,261
1014,35,29,30,290
1009,34,30,30,290
1018,35,28,30,300
1002,29,33,29,306
1006,28,33,29,306
1021,40,32,28,86
1039,34,26,23,111
1020,41,32,28,102
1023,41,34,28,104
1027,37,35,22,117
1038,45,30,29,187
1029,50,31,36,192
1035,48,32,36,193
1028,50,30,37,198
1036,48,31,37,217
1034,48,32,37,227
1031,47,30,29,239
1037,47,31,37,242
1030,50,30,36,245
1033,48,28,36,261
1025,49,30,28,275
1032,47,27,37,273
1026,48,29,29,295
1022,41,35,28,314
1024,49,29,29,316
1042,26,32,23,69
1040,28,30,27,106
1059,37,34,28,108
1041,26,32,23,156
1045,32,38,27,142
1046,31,33,27,161
1047,31,49,27,151
1053,38,39,29,153
1056,37,38,29,159
1058,37,38,29,203
1055,37,38,28,218
1049,39,39,28,222
1057,38,34,31,231
1051,31,47,27,237
1052,38,38,29,246
1054,38,37,28,254
1048,31,38,28,290
1044,32,38,28,291
1050,32,45,28,286
1043,32,30,27,310
1060,25,30,15,93
1069,29,30,30,88
1064,25,26,26,100
1076,38,35,29,150
1077,38,35,30,172
1074,40,35,29,174
1072,40,35,28,193
1073,39,35,30,196
1061,32,35,29,216
1078,38,35,30,214
1075,38,35,30,233
1070,30,34,29,250
1068,30,35,29,253
1065,30,35,29,268
1062,30,35,29,271
1067,31,34,29,287
1063,30,35,29,328
1071,30,31,28,334
1079,37,30,19,340
1066,29,30,26,346
1088,26,27,22,84
1080,30,25,25,86
1086,29,33,25,132
1087,29,33,25,148
1082,29,31,25,156
1085,30,31,24,166
1098,35,37,26,151
1092,37,47,23,164
1084,37,40,25,197
1093,36,38,25,221
1090,36,30,35,227
1096,36,38,26,229
1094,36,39,25,232
1095,36,37,26,235
1091,35,35,26,254
1089,36,34,26,275
1099,34,32,25,299
1097,36,35,23,298
1081,29,30,26,315
1083,30,29,24,321
1102,30,91,25,107
1107,25,95,25,118
1106,26,94,24,174
1115,37,105,26,177
1110,37,94,20,204
1116,37,106,27,185
1101,23,29,14,299
1103,31,126,27,183
1109,37,116,27,207
1108,29,144,29,205
1118,36,131,28,218
1113,36,104,28,261
1104,30,126,28,248
1100,31,145,29,230
1117,37,126,28,254
1112,37,129,27,274
1105,31,140,27,277
1114,36,132,28,282
1119,36,115,28,300
1111,37,128,29,294
1122,27,31,20,107
1138,34,30,31,108
1139,26,28,26,126
1121,26,31,21,141
1134,33,30,33,150
1120,24,31,23,178
1125,34,31,25,179
1123,36,46,33,171
1135,34,28,31,194
1137,33,47,34,215
1133,35,44,32,228
1128,36,46,32,226
1132,34,30,32,249
1131,35,44,32,249
1126,34,31,25,273
1129,33,30,27,300
1130,34,30,33,298
1136,34,30,25,336
1127,33,28,26,340
1124,34,27,23,344
1141,24,30,15,79
1142,24,30,15,111
1144,39,27,22,141
1145,30,27,27,156
1143,27,26,26,169
1151,30,40,30,165
1140,27,26,27,187
1146,30,33,31,176
1150,38,28,30,182
1153,38,37,31,194
1159,37,37,31,215
1157,39,28,28,236
1155,38,32,30,265
1158,38,32,30,285
1148,30,39,31,290
1149,29,40,32,297
1154,38,31,31,304
1156,39,31,29,317
1147,30,39,31,317
1152,40,31,29,328
1162,31,25,26,95
1161,26,29,16,113
1166,28,27,26,140
1163,31,26,29,162
1169,31,27,28,195
1165,33,28,28,196
1170,31,40,29,196
1171,40,36,28,201
1172,31,31,29,216
1176,40,33,29,251
1175,41,34,27,252
1178,41,35,26,259
1174,42,35,27,281
1177,40,34,28,289
1160,33,33,28,320
1173,41,34,29,312
1179,39,34,29,314
1168,32,31,28,343
1164,32,29,28,356
1167,33,31,28,362
1186,31,25,28,82
1182,26,32,11,109
1187,30,26,27,161
1183,29,24,25,176
1180,28,29,23,202
1184,39,36,29,187
1189,38,25,28,234
1196,37,30,29,229
1198,37,26,39,270
1190,31,25,27,293
1197,38,39,29,273
1195,38,39,29,281
1192,38,40,29,294
1191,37,40,30,295
1193,39,39,29,296
1188,36,27,25,329
1185,38,37,30,321
1194,36,32,29,332
1181,38,27,29,346
1199,36,27,29,359
1200,23,37,16,97
1201,26,21,28,99
1206,27,26,29,159
1213,36,25,23,167
1205,28,28,33,168
1203,27,28,34,181
1209,36,30,23,207
1208,36,29,23,219
1204,39,38,36,220
1211,39,46,35,212
1210,38,29,35,274
1219,37,37,36,266
1218,37,31,35,282
1215,37,29,28,302
1216,36,27,30,319
1217,36,28,30,327
1202,27,35,34,331
1214,37,28,30,334
1212,37,30,22,348
1207,37,29,23,365
1220,23,28,5,101
1226,30,25,29,149
1221,26,33,14,164
1224,31,33,33,160
1228,37,25,25,181
1235,36,31,34,181
1239,29,31,32,193
1236,37,30,34,208
1227,31,34,32,252
1229,38,30,34,247
1238,37,40,33,244
1233,38,40,33,247
1232,38,38,34,286
1234,38,31,32,306
1225,38,31,33,332
1231,37,39,24,334
1222,31,38,33,336
1223,31,38,33,338
1230,37,30,34,347
1237,36,29,33,349
1249,25,32,24,139
1242,23,32,20,160
1246,28,35,27,177
1247,27,35,27,197
1241,29,31,26,202
1253,34,34,31,210
1254,32,30,31,224
1255,42,37,32,209
1259,42,38,31,266
1256,32,31,30,294
1258,42,35,32,285
1257,42,37,32,285
1251,34,35,31,311
1240,30,28,35,321
1244,36,34,30,348
1250,34,30,30,359
1248,34,35,31,353
1245,35,34,31,355
1252,33,30,30,370
1243,34,35,31,376
1261,25,94,26,112
1260,23,97,17,141
1263,29,95,25,183
1266,26,95,24,188
1274,28,30,95,189
1272,37,38,97,177
1275,36,39,97,178
1269,35,32,88,278
1279,36,38,97,283
1278,36,34,97,311
1268,37,35,97,314
1265,29,35,96,325
1276,36,34,97,330
1264,29,32,95,351
1273,29,31,95,353
1271,29,35,95,352
1270,36,36,97,345
1267,37,29,96,367
1262,30,31,96,376
1277,36,43,96,356
1281,24,29,15,147
1285,26,25,25,157
1288,28,26,26,157
1280,31,31,29,183
1282,29,32,29,188
1291,36,32,29,184
1284,29,27,29,222
1289,36,30,20,236
1299,37,45,29,213
1297,37,44,28,229
1295,36,47,29,262
1298,37,45,29,284
1296,37,45,29,304
1292,37,39,29,319
1290,36,41,29,326
1287,30,30,29,354
1293,37,33,28,346
1294,37,32,29,355
1283,30,27,28,385
1286,30,30,29,382
1300,25,34,12,122
1317,33,28,24,130
1302,27,27,25,195
1301,28,27,29,207
1311,37,35,31,189
1303,30,32,31,213
1316,33,27,25,231
1309,36,42,31,254
1306,37,38,32,276
1312,36,41,32,319
1314,36,60,33,300
1305,37,38,31,337
1308,35,38,33,337
1310,35,29,32,357
1318,36,38,31,352
1315,36,29,30,382
1319,36,28,30,392
1307,36,33,24,406
1313,34,36,25,406
1304,27,32,34,422
1321,22,34,18,175
1324,26,28,25,183
1331,30,29,27,179
1320,32,29,27,180
1322,26,28,26,228
1330,30,30,27,233
1328,37,32,27,247
1334,36,31,27,306
1335,38,23,34,321
1336,37,30,27,329
1323,26,27,26,369
1337,37,30,26,353
1333,31,30,34,353
1332,38,30,27,358
1338,37,30,27,375
1329,37,30,27,381
1339,37,29,27,394
1327,32,28,27,406
1326,31,29,27,407
1325,26,28,25,418
1340,24,27,22,154
1342,28,29,28,169
1352,35,30,36,172
1344,27,30,27,202
1348,35,36,27,209
1341,23,27,23,235
1349,36,27,27,219
1353,33,37,27,229
1359,34,29,27,250
1354,33,29,27,302
1357,34,29,27,304
1343,28,28,27,317
1351,35,29,27,313
1345,24,27,25,328
1347,28,29,27,362
1356,35,28,27,359
1350,35,28,28,376
1346,28,29,27,386
1358,33,29,27,389
1355,34,29,27,395
1360,27,29,14,107
1364,30,25,25,136
