count,post,get,filter
205,15,9,148
208,14,9,158
206,16,11,220
207,19,10,299
209,17,10,331
214,44,10,148
210,47,9,163
212,49,15,255
213,46,17,286
211,49,12,294
217,14,11,261
218,12,10,275
215,17,11,390
216,16,12,395
219,16,9,399
222,12,7,173
221,15,8,170
224,16,10,300
220,17,8,328
223,20,23,315
229,14,14,251
225,17,17,290
227,19,11,300
228,16,17,323
226,19,13,339
233,14,10,172
230,14,10,176
231,15,12,254
234,14,12,412
232,18,11,416
237,13,10,175
239,16,10,198
238,15,9,272
235,19,13,276
236,18,11,308
240,12,10,187
243,15,8,327
242,15,11,389
244,17,8,404
241,15,11,412
247,14,9,148
249,15,9,155
246,19,10,223
245,16,11,306
248,18,8,308
250,11,9,355
253,12,9,380
251,16,10,402
254,12,10,428
252,16,9,426
258,13,8,156
255,18,9,182
256,23,8,260
257,18,10,278
259,16,8,295
260,15,10,334
262,13,10,352
261,17,13,389
263,16,12,421
264,17,9,424
267,15,8,140
268,12,10,176
269,14,12,249
266,14,11,340
265,16,12,362
270,15,10,227
272,16,10,282
273,20,13,302
271,17,11,319
274,20,10,342
279,12,8,327
275,11,8,336
276,13,10,414
278,16,9,437
277,17,9,445
283,13,11,143
280,15,12,147
281,16,10,266
284,15,13,292
282,17,12,305
289,18,10,408
288,15,10,422
287,16,10,431
285,13,10,441
286,15,9,445
293,18,8,168
291,20,8,197
294,22,9,225
292,22,10,358
290,21,10,403
298,15,8,227
297,13,9,237
296,21,8,297
299,16,10,327
295,19,8,337
300,13,8,279
302,14,9,320
304,15,9,412
303,16,10,426
301,17,10,429
308,13,9,168
305,12,9,186
309,18,9,264
306,16,10,299
307,15,8,307
314,14,9,380
310,16,11,389
312,13,9,414
311,18,12,408
313,18,10,426
315,20,11,146
317,15,13,157
318,19,13,356
316,19,11,391
319,18,14,410
322,14,12,361
320,19,10,360
323,22,11,390
321,19,12,418
324,18,12,419
327,24,13,313
326,23,11,336
325,18,14,413
329,21,11,436
328,17,15,438
331,13,12,161
330,17,11,168
332,18,12,325
333,17,12,336
334,17,11,349
337,19,10,416
338,15,11,451
335,14,11,471
339,19,10,545
336,16,10,570
340,17,10,140
342,18,10,148
344,18,11,304
341,21,10,370
343,22,11,402
347,15,23,226
349,18,20,230
346,20,17,259
345,20,17,297
348,15,18,330
350,16,11,368
354,18,9,410
353,15,13,434
351,19,12,434
352,18,13,465
355,13,9,150
357,12,9,182
358,14,10,271
356,19,8,349
359,15,11,348
360,15,9,229
362,17,9,275
363,19,12,279
364,18,9,357
361,22,12,354
365,13,8,143
367,14,9,194
369,16,13,440
368,16,8,450
366,17,9,467
374,15,10,161
372,14,10,190
371,16,12,223
373,18,11,308
370,18,12,309
375,16,13,364
378,20,9,440
379,19,15,446
376,20,14,467
377,19,11,478
382,17,27,182
384,22,30,175
381,20,31,352
383,22,30,359
380,23,30,368
388,15,12,222
387,14,8,244
385,19,13,364
389,18,10,379
386,19,12,385
391,18,9,143
394,19,9,156
390,20,12,388
393,22,11,438
392,23,11,443
395,15,9,151
399,17,8,155
396,22,10,289
397,19,8,308
398,19,10,320
401,21,10,283
404,23,9,364
403,23,11,428
402,23,11,445
400,23,12,458
406,13,10,146
407,15,10,151
405,16,12,301
409,18,11,308
408,18,10,312
411,14,9,389
410,13,8,400
414,16,8,407
413,15,11,433
412,17,10,467
417,21,9,172
418,22,9,173
416,23,13,411
415,28,9,453
419,22,11,474
424,16,16,193
421,13,16,231
423,16,13,324
420,17,16,354
422,16,15,359
425,14,9,340
429,14,9,375
426,18,10,442
428,14,11,447
427,17,8,451
430,13,7,161
433,13,8,176
434,15,9,250
432,17,10,293
431,15,10,320
436,16,13,348
435,13,11,410
439,15,12,422
437,16,10,427
438,16,10,442
443,15,8,138
440,18,8,217
444,19,10,432
441,20,8,455
442,20,10,465
447,14,10,300
449,17,12,311
448,17,9,337
446,19,9,342
445,19,12,356
450,15,9,320
454,12,9,357
451,18,11,404
453,15,9,424
452,18,9,446
458,12,8,142
456,15,9,171
455,19,10,355
459,16,9,460
457,15,11,460
462,14,9,166
461,18,10,229
463,19,11,278
464,22,11,321
460,21,13,334
467,16,9,346
468,14,9,381
465,17,9,463
469,19,11,476
466,17,12,487
473,15,10,160
472,17,9,190
474,20,9,251
470,19,11,345
471,21,10,344
475,20,11,367
479,16,10,384
477,19,11,394
478,18,10,410
476,22,11,411
484,16,10,278
482,17,11,388
481,14,11,393
480,18,14,482
483,14,16,504
487,13,13,145
488,15,14,163
485,16,16,297
486,18,14,315
489,18,13,328
491,18,10,306
492,21,9,384
494,19,13,458
490,21,10,488
493,20,13,498
497,19,9,214
498,17,9,228
496,19,11,259
499,22,10,358
495,20,11,381
502,18,10,182
501,16,9,193
503,21,15,383
504,21,9,389
500,22,13,391
508,19,8,383
509,16,10,419
506,20,12,443
507,19,11,477
505,20,12,502
513,13,9,160
510,12,9,165
511,17,12,318
514,13,11,339
512,17,8,363
515,18,8,409
518,15,9,427
516,20,7,430
517,19,10,444
519,17,10,469
524,17,9,295
523,16,10,387
521,17,13,451
520,17,10,518
522,14,10,547
528,13,9,179
529,18,6,220
526,18,11,281
527,16,11,338
525,16,11,340
531,14,10,400
530,17,9,438
532,16,11,472
533,16,9,498
534,16,12,498
538,13,9,231
535,16,8,246
537,15,10,339
536,18,15,366
539,18,8,453
543,14,9,196
540,13,10,206
542,16,10,285
544,17,10,332
541,18,10,339
547,12,8,359
548,16,9,442
549,16,9,467
546,14,9,472
545,17,11,482
550,17,8,177
552,15,9,207
553,16,11,399
554,19,10,462
551,17,10,489
555,15,9,211
558,13,9,228
556,18,11,305
557,15,11,351
559,17,10,355
564,13,9,380
561,14,11,379
560,17,9,437
562,15,12,463
563,16,11,465
567,13,10,161
565,14,7,165
569,16,12,432
568,16,10,486
566,16,8,502
570,17,11,187
573,15,10,224
572,19,13,287
571,17,11,341
574,19,11,345
578,20,9,418
576,23,9,435
575,24,10,475
577,23,11,478
579,22,9,498
583,13,9,153
580,17,7,167
584,18,9,382
581,19,9,405
582,16,9,455
586,17,8,267
587,19,9,299
585,24,9,319
589,23,9,360
588,21,9,375
590,14,9,401
592,11,10,429
594,14,11,471
591,13,12,473
593,17,10,474
597,13,8,268
596,16,9,433
595,19,10,442
598,16,9,445
599,14,9,520
601,15,9,197
603,16,9,227
600,21,9,322
604,17,10,344
602,17,11,347
608,17,10,335
609,18,11,352
607,16,14,456
606,20,10,489
605,20,11,494
614,13,10,212
611,17,16,207
613,15,17,432
610,16,18,503
612,16,16,521
615,13,7,249
617,13,8,267
619,17,9,295
618,16,8,348
616,15,8,380
623,14,8,428
620,15,10,437
621,12,8,451
622,16,7,457
624,16,10,488
625,15,10,188
628,12,10,238
626,16,12,447
627,16,12,470
629,15,9,512
631,13,10,153
634,15,8,180
630,19,10,336
633,16,10,341
632,16,11,353
637,12,11,377
639,14,10,435
638,15,15,482
636,14,13,486
635,15,15,497
643,14,9,172
642,13,7,231
644,18,7,283
640,17,11,481
641,19,9,481
649,17,11,172
648,20,9,192
647,20,12,333
646,20,12,358
645,21,10,373
650,15,9,455
652,16,9,481
653,13,15,485
651,17,8,514
654,17,11,512
658,15,8,180
655,14,11,192
656,18,8,389
659,20,12,445
657,20,13,478
662,21,9,208
663,22,9,280
661,25,10,318
664,22,11,363
660,27,10,361
668,13,9,374
665,16,10,397
667,19,9,453
666,19,9,470
669,16,11,475
674,13,9,164
672,16,8,284
670,17,10,517
671,20,9,516
673,16,10,523
677,13,8,195
675,15,8,236
676,16,8,308
679,19,9,359
678,17,9,369
683,12,8,471
684,16,10,469
682,15,9,487
681,17,10,503
680,15,9,509
685,16,8,170
688,12,8,181
689,15,9,440
686,17,9,472
687,17,10,523
690,16,9,294
692,17,12,377
694,17,9,385
693,17,12,388
691,17,9,397
696,13,10,429
697,17,11,458
695,17,8,485
699,13,11,487
698,15,9,508
702,13,8,311
700,15,9,461
703,17,12,469
701,18,10,538
704,17,8,556
705,16,9,206
709,17,8,209
707,18,10,290
706,21,9,359
708,20,9,366
712,15,10,484
713,16,12,494
710,13,10,505
711,16,12,515
714,15,9,541
715,12,9,255
719,13,8,332
718,13,10,368
717,16,9,529
716,16,10,531
720,24,11,236
721,24,14,331
722,24,12,340
723,20,14,375
724,21,10,394
728,18,9,469
726,14,14,513
727,14,14,533
725,18,10,536
729,14,9,550
730,13,9,231
732,15,12,335
731,18,13,410
733,14,13,503
734,18,11,533
735,15,9,214
737,13,8,287
739,16,8,346
736,17,11,364
738,17,9,377
740,13,11,429
743,16,10,483
742,19,10,510
744,18,11,519
741,16,11,546
749,13,10,343
746,15,10,352
745,15,10,403
748,16,12,470
747,15,12,539
751,16,8,187
750,18,8,187
754,22,15,315
752,19,12,369
753,21,15,365
759,14,9,346
755,17,13,482
758,16,13,483
756,17,8,506
757,19,8,528
760,16,8,222
762,14,9,255
761,19,10,446
763,16,11,489
764,16,11,523
765,12,8,198
768,13,7,204
769,17,19,354
767,15,22,384
766,18,23,401
772,12,8,372
770,15,8,437
771,17,9,488
774,14,10,491
773,16,10,519
776,14,10,192
778,17,13,187
779,16,14,522
777,17,14,539
775,16,15,540
783,17,8,192
780,20,8,216
781,21,8,311
784,21,10,398
782,21,10,437
787,23,11,397
788,24,12,446
785,24,10,452
789,21,10,471
786,19,9,477
792,14,9,423
790,14,8,437
794,17,9,486
793,17,9,494
791,16,9,505
795,14,11,427
796,16,11,488
798,12,10,546
797,15,9,559
799,17,10,583
800,14,11,190
801,16,11,200
802,16,12,421
803,15,12,472
804,18,10,501
807,17,14,261
809,20,11,358
805,21,11,370
806,20,12,410
808,19,13,411
810,14,11,408
812,14,10,428
813,17,9,502
814,18,14,513
811,17,16,522
817,18,8,401
819,14,15,472
815,15,13,531
816,15,15,540
818,12,13,574
820,16,8,355
821,14,8,368
824,11,7,382
823,19,9,434
822,16,10,453
829,19,8,325
827,25,15,368
828,22,16,419
825,22,15,426
826,23,15,439
833,13,13,360
834,15,11,423
830,22,8,482
831,16,16,508
832,16,15,514
838,14,9,279
836,15,8,316
837,18,11,474
835,19,9,541
839,16,9,544
840,15,9,179
842,17,10,193
844,19,9,365
843,19,11,416
841,19,11,488
849,24,19,283
845,20,24,319
847,23,30,333
848,21,31,382
846,18,24,419
854,13,10,460
850,18,10,478
852,17,10,494
851,16,8,521
853,14,10,522
855,13,10,466
857,17,9,539
856,15,8,545
858,12,8,553
859,14,9,591
860,15,9,172
864,16,9,237
862,16,11,360
863,16,11,463
861,17,9,482
869,15,9,286
867,14,8,327
865,18,9,397
868,17,12,408
866,20,8,418
870,13,9,477
871,14,8,504
873,15,10,520
874,17,10,527
872,14,10,537
878,15,8,321
875,14,9,326
879,18,7,500
876,19,9,508
877,15,10,533
880,13,9,218
883,15,8,266
882,19,10,369
884,14,11,446
881,16,11,465
885,28,7,226
886,30,8,324
887,28,8,409
889,25,7,414
888,30,7,417
894,17,7,499
891,17,10,514
890,12,10,530
893,17,8,544
892,15,7,560
895,15,9,390
898,16,10,468
899,16,10,503
896,16,8,512
897,16,10,541
900,12,7,376
902,15,10,386
901,15,8,555
903,13,8,557
904,15,8,558
906,12,7,211
905,17,7,247
909,14,7,410
908,15,9,408
907,14,7,413
910,12,7,494
912,13,7,530
914,14,9,529
913,16,8,551
911,14,7,556
915,18,9,227
916,16,8,252
917,19,8,505
918,22,7,509
919,19,10,565
920,13,24,182
921,13,25,203
922,17,30,377
923,16,29,450
924,14,31,479
928,14,8,275
925,17,10,352
929,19,20,407
927,16,8,430
926,15,12,427
931,13,8,470
930,16,11,520
933,18,7,526
932,12,8,544
934,15,8,544
937,11,10,463
935,15,12,523
938,17,9,548
939,14,9,564
936,13,11,597
940,20,11,246
941,22,10,245
943,21,13,300
944,21,13,491
942,21,14,534
945,15,8,288
948,15,9,337
949,17,9,419
946,18,11,419
947,19,7,431
953,13,10,566
951,13,13,617
954,15,13,623
952,16,14,624
950,16,15,646
955,15,8,414
959,11,9,436
958,13,11,535
956,14,11,565
957,17,9,572
960,14,10,345
962,15,8,364
964,15,11,542
963,14,12,576
961,18,11,583
967,12,11,180
965,15,15,210
968,16,14,345
969,16,16,386
966,16,16,400
973,13,9,417
972,15,9,490
971,15,11,490
974,18,8,556
970,15,11,557
976,14,9,443
977,14,14,533
979,16,9,562
975,12,16,562
978,14,10,599
984,17,9,387
981,22,10,457
980,20,9,514
983,19,11,548
982,19,9,585
987,16,10,188
985,15,8,224
989,16,8,363
986,18,11,400
988,18,9,417
993,18,8,520
994,22,9,535
990,21,9,559
992,15,9,580
991,19,9,587
999,12,11,465
996,18,11,487
998,15,11,553
997,17,9,573
995,15,10,595
1003,14,12,343
1004,17,14,425
1002,14,12,507
1001,14,13,526
1000,13,14,567
1007,13,9,304
1006,18,10,350
1009,18,9,404
1005,16,9,408
1008,15,9,456
1012,16,10,490
1011,13,9,522
1010,11,12,530
1014,13,10,536
1013,15,10,540
1015,13,10,414
1019,14,10,482
1016,16,13,584
1018,14,10,597
1017,15,12,601
1020,19,8,259
1023,19,10,433
1024,20,11,528
1022,21,11,552
1021,21,9,583
1025,15,9,319
1029,16,12,334
1026,14,11,437
1027,18,11,436
1028,14,11,459
1034,16,8,491
1030,15,7,524
1032,11,9,561
1033,14,9,563
1031,18,8,564
1035,12,7,458
1039,16,9,513
1037,16,8,521
1036,13,9,559
1038,13,8,589
1043,13,8,207
1041,20,8,287
1042,19,8,546
1040,23,9,551
1044,17,7,581
1049,14,9,254
1047,16,9,254
1046,19,8,376
1048,16,11,432
1045,17,10,434
1051,15,8,492
1053,12,7,503
1054,15,9,562
1052,15,11,563
1050,14,8,576
1056,11,9,450
1058,13,8,559
1055,14,9,560
1059,13,10,567
1057,16,9,579
1062,19,10,459
1064,11,7,499
1063,15,10,606
1061,15,9,624
1060,14,9,631
1066,17,10,368
1065,14,9,432
1068,16,8,432
1069,17,9,440
1067,13,7,449
1074,11,8,529
1070,13,7,548
1073,16,7,543
1072,16,9,543
1071,16,8,557
1079,13,17,448
1076,28,15,493
1078,21,14,581
1077,25,13,611
1075,21,14,623
1080,18,11,459
1083,16,8,553
1082,17,12,575
1084,12,9,583
1081,15,8,622
1086,19,9,366
1089,16,9,425
1088,14,8,455
1087,16,8,457
1085,11,8,477
1090,12,8,425
1091,16,8,466
1092,15,11,521
1094,13,8,557
1093,15,9,556
1095,13,8,549
1097,16,12,558
1099,16,9,584
1098,17,9,585
1096,14,9,616
1103,14,10,345
1101,17,7,496
1104,15,7,559
1100,11,7,609
1102,13,8,615
1105,14,8,314
1109,17,9,346
1106,17,8,401
1108,14,9,417
1107,13,7,463
1111,19,7,406
1113,17,11,416
1110,19,10,494
1112,19,11,502
1114,15,10,507
1117,12,9,483
1118,14,9,527
1115,15,10,541
1116,15,10,568
1119,15,10,568
1120,15,14,395
1122,16,29,505
1121,16,29,587
1124,22,23,623
1123,18,27,624
1128,11,8,335
1126,13,9,566
1125,14,8,594
1129,15,10,594
1127,16,8,611
1134,19,7,404
1130,14,9,409
1131,21,8,406
1132,14,9,473
1133,12,8,541
1139,17,7,327
1137,17,8,335
1135,16,7,469
1138,14,7,473
1136,12,7,484
1144,13,9,480
1142,20,9,489
1141,18,8,493
1143,14,9,515
1140,12,8,524
1147,14,7,498
1145,16,8,589
1146,16,7,593
1148,10,7,610
1149,12,7,618
1152,12,8,445
1154,16,8,501
1151,14,11,539
1150,14,9,576
1153,14,8,609
1156,13,12,318
1159,21,8,448
1157,12,14,522
1155,15,14,560
1158,14,13,608
1161,18,9,355
1162,15,9,393
1163,12,8,440
1164,14,10,476
1160,15,8,480
1169,16,8,497
1167,13,8,503
1168,12,7,509
1165,14,8,550
1166,17,7,549
1174,11,7,459
1170,15,8,598
1173,14,8,616
1172,13,8,618
1171,14,11,614
1175,13,6,422
1176,16,8,524
1179,16,7,536
1177,14,8,599
1178,13,7,609
1183,27,9,349
1181,27,13,431
1184,27,13,558
1182,27,13,563
1180,25,15,583
1186,16,8,364
1185,17,7,428
1188,14,7,453
1189,16,9,454
1187,13,7,486
1194,14,10,530
1193,14,9,556
1190,12,8,564
1191,16,9,564
1192,15,9,568
1198,14,8,503
1199,12,9,580
1195,17,8,586
1197,14,10,588
1196,16,10,608
1203,14,8,358
1202,16,10,554
1201,16,10,570
1204,15,8,599
1200,12,8,617
1207,23,12,364
1206,19,9,392
1209,24,9,432
1205,22,10,575
1208,21,9,577
1210,14,8,360
1214,19,9,386
1213,16,10,451
1211,17,9,476
1212,14,9,485
1217,12,7,558
1218,17,9,551
1219,17,7,555
1215,14,8,569
1216,15,8,571
1222,12,9,482
1224,15,10,526
1223,15,12,557
1221,15,9,611
1220,12,11,617
1225,15,11,557
1228,14,10,606
1227,14,8,609
1229,12,9,655
1226,14,10,684
1234,28,15,329
1232,27,16,551
1231,27,17,589
1230,28,16,591
1233,27,14,594
1236,18,9,331
1237,14,9,386
1235,18,9,431
1238,15,9,481
1239,15,10,489
1241,17,10,458
1243,15,11,526
1242,15,9,543
1244,13,9,594
1240,14,10,600
1248,15,9,537
1249,18,10,597
1245,19,11,607
1246,17,9,626
1247,18,8,653
1253,12,9,419
1252,15,8,429
1254,14,11,611
1250,15,11,624
1251,15,8,682
1259,16,8,318
1256,17,12,378
1257,16,10,437
1255,15,9,553
1258,12,8,576
1261,15,17,335
1263,17,17,398
1262,13,8,421
1264,17,18,490
1260,17,16,568
1267,12,19,374
1268,17,10,396
1266,16,14,458
1265,15,14,466
1269,14,14,534
1270,19,8,359
1274,15,8,484
1271,13,8,496
1273,17,8,502
1272,14,7,511
1276,19,9,525
1278,13,13,620
1279,19,11,620
1275,19,12,620
1277,18,10,628
1281,13,9,570
1282,15,9,580
1284,15,11,582
1283,18,8,587
1280,16,9,613
1285,12,9,474
1288,14,11,557
1286,14,13,603
1289,14,9,633
1287,14,10,647
1290,17,8,477
1291,15,8,495
1293,17,10,615
1294,19,10,632
1292,19,8,681
1298,12,7,259
1295,12,10,292
1299,15,11,448
1296,15,9,483
1297,15,9,548
1300,18,12,431
1304,19,8,461
1302,19,13,458
1301,19,11,491
1303,16,10,521
1307,18,9,546
1308,12,10,560
1309,14,9,561
1305,15,11,574
1306,19,9,582
1312,22,10,607
1310,14,13,614
1314,19,9,618
1313,22,8,626
1311,19,11,635
1318,13,9,563
1316,16,18,607
1315,16,14,651
1317,15,14,665
1319,15,16,696
1322,12,7,338
1324,18,9,505
1321,16,8,637
1320,15,10,637
1323,13,8,648
1328,15,10,322
1325,14,8,356
1329,15,12,563
1326,18,11,585
1327,18,8,605
1334,14,7,328
1333,18,8,398
1332,18,9,477
1330,16,8,481
1331,15,8,542
1335,19,10,425
1336,17,8,479
1339,20,9,485
1337,14,17,524
1338,14,13,534
1342,16,9,597
1343,12,8,613
1341,17,9,611
1344,16,8,646
1340,15,8,658
1348,13,8,421
1345,12,9,449
1346,16,13,623
1349,15,12,635
1347,15,13,645
1354,27,6,410
1350,18,14,440
1352,30,7,611
1353,17,15,625
1351,29,7,659
1359,16,10,232
1357,14,8,306
1356,15,8,572
1358,18,8,571
1355,17,7,626
1363,12,8,479
1360,14,11,478
1361,23,5,480
1362,20,9,493
1364,15,8,595
1365,13,8,393
1367,18,7,409
1366,14,9,423
1369,11,7,461
1368,21,94,431
1371,19,11,382
1373,23,16,452
1374,15,15,465
1372,22,11,512
1370,20,11,541
1379,13,10,521
1377,12,10,542
1378,15,11,565
1376,16,9,590
1375,16,11,589
1380,15,9,515
1383,13,10,562
1381,16,11,601
1382,17,9,631
1384,17,9,633
1385,20,15,576
1387,19,13,640
1386,19,15,646
1389,19,15,656
1388,20,14,657
1391,15,12,493
1390,14,9,518
1394,15,11,590
1393,15,8,633
1392,15,10,660
1399,12,12,441
1396,13,8,530
1398,15,9,626
1395,10,10,686
1397,12,9,686
1404,15,10,362
1401,17,8,394
1402,16,11,406
1400,15,9,513
1403,12,7,577
1405,17,9,337
1406,19,10,454
1408,21,8,564
1407,19,8,575
1409,21,10,620
1414,12,7,268
1411,18,11,383
1410,16,12,482
1412,13,11,526
1413,14,11,559
1416,15,11,383
1417,13,12,454
1419,16,11,460
1415,12,10,501
1418,13,8,517
1422,15,8,556
1421,15,9,564
1424,11,7,572
1423,13,7,585
1420,11,6,590
1428,14,8,515
1425,13,9,574
1429,15,9,578
1427,14,11,599
1426,18,7,608
1433,19,7,594
1434,16,8,608
1430,21,7,618
1432,20,9,628
1431,16,7,636
1435,11,8,539
1439,14,9,641
1437,13,7,676
1436,15,8,679
1438,13,9,693
1444,13,9,403
1443,13,9,518
1440,13,7,631
1442,15,10,658
1441,17,9,685
1445,10,7,253
1447,12,7,322
1446,14,7,609
1448,13,7,771
1449,16,7,800
1453,11,8,313
1452,16,10,376
1451,16,8,452
1454,14,8,559
1450,15,9,559
1455,17,17,394
1458,17,15,448
1459,12,13,574
1456,15,14,571
1457,12,14,611
1464,14,7,327
1462,17,11,429
1463,17,8,448
1460,18,10,521
1461,16,8,561
1468,26,8,440
1469,27,8,461
1466,17,16,482
1465,19,13,500
1467,19,12,643
1472,16,7,346
1473,19,9,358
1471,17,8,553
1474,19,8,552
1470,15,9,608
1479,16,6,336
1476,17,10,386
1478,18,14,419
1475,13,7,490
1477,12,6,584
1480,18,7,299
1481,22,18,380
1484,22,8,510
1482,21,7,527
1483,19,8,576
1486,18,8,253
1485,19,11,350
1489,20,11,478
1487,21,13,504
1488,20,9,536
1493,18,9,406
1494,19,12,467
1490,22,10,537
1491,20,14,538
1492,22,9,570
1496,20,8,398
1495,19,7,410
1497,15,8,552
1498,14,7,568
1499,12,8,585
1501,17,12,539
1503,18,12,548
1502,27,9,560
1500,20,14,584
1504,19,14,604
1507,18,10,381
1505,15,8,464
1508,12,10,578
1509,17,8,577
1506,18,8,579
1510,15,10,571
1512,12,9,611
1513,14,8,645
1514,15,10,657
1511,17,9,661
1517,15,8,524
1518,12,9,624
1516,15,12,641
1519,15,9,651
1515,15,12,661
1524,14,11,592
1522,14,8,600
1521,14,12,661
1520,12,10,683
1523,14,8,706
1525,15,8,274
1529,18,8,282
1528,15,11,659
1526,15,10,663
1527,13,9,685
1533,16,9,333
1534,18,11,525
1530,18,11,663
1531,18,8,680
1532,18,11,686
1537,11,8,357
1535,17,13,398
1539,15,13,581
1538,13,7,615
1536,15,12,623
1542,13,8,281
1544,15,9,386
1540,18,11,463
1541,17,9,597
1543,17,8,610
1548,13,8,420
1546,16,9,433
1549,17,11,510
1547,17,9,522
1545,15,9,539
1551,14,9,423
1552,17,11,507
1554,20,9,523
1553,19,7,587
1550,13,8,594
1556,13,8,575
1558,17,7,587
1557,15,8,638
1555,15,10,643
1559,14,10,647
1563,18,8,535
1562,19,16,633
1560,16,9,651
1561,16,11,654
1564,19,15,659
1565,11,8,575
1567,14,8,572
1568,16,8,665
1566,15,7,691
1569,12,8,714
1572,16,10,555
1571,16,8,610
1570,15,12,669
1574,16,10,676
1573,13,10,724
1576,15,13,584
1577,16,12,615
1575,13,12,643
1578,15,7,659
1579,12,9,701
1583,13,15,348
1580,14,15,500
1584,16,18,661
1581,15,19,661
1582,16,20,667
1588,11,8,419
1589,16,10,456
1586,17,8,529
1587,14,9,557
1585,15,8,627
1592,12,8,307
1591,17,9,363
1594,17,12,521
1590,19,8,603
1593,15,10,660
1597,18,11,345
1598,17,10,356
1595,23,11,438
1596,23,9,594
1599,15,10,644
1603,15,11,358
1600,19,12,428
1602,19,11,456
1601,17,13,578
1604,18,8,661
1608,18,11,307
1607,18,9,336
1606,19,13,463
1609,18,15,629
1605,15,15,660
1610,12,8,352
1613,12,9,396
1614,16,11,434
1612,16,8,596
1611,14,10,640
1618,16,11,404
1616,19,13,401
1617,22,12,564
1619,17,12,576
1615,19,9,666
1621,15,10,346
1620,20,11,347
1624,20,9,523
1622,17,11,544
1623,15,10,652
1628,16,14,478
1629,16,12,560
1627,20,10,608
1626,16,11,630
1625,14,12,704
1630,15,11,351
1633,17,12,358
1631,21,9,569
1632,17,13,616
1634,16,13,668
1637,14,9,300
1638,16,10,369
1639,19,11,595
1636,20,10,630
1635,17,11,639
1640,16,9,424
1644,16,12,421
1642,18,9,486
1643,14,9,625
1641,12,9,664
1649,13,8,409
1645,12,8,468
1648,17,9,554
1646,16,8,658
1647,15,8,671
1652,12,8,405
1651,17,13,478
1654,16,11,611
1653,14,8,639
1650,17,8,661
1655,14,9,340
1657,15,12,352
1659,18,10,456
1658,15,12,605
1656,16,8,647
1663,14,14,396
1660,14,11,443
1661,22,21,622
1662,16,22,654
1664,16,26,662
